,kg_zone,mean,quantilep02,quantilep05,quantilep10,quantilep20,quantilep30,quantilep40,quantilep50,quantilep60,quantilep70,quantilep80,quantilep90,quantilep95,quantilep98
1,Af,1801.42723880597,1476,1548,1627.2,1699.2,1742.4,1767.6,1792.8,1818,1846.8,1908,2001.6,2070,2141.784
2,Am,1860.51339584729,1551.6,1652.4,1702.8,1760.4,1800,1825.2,1857.6,1882.8,1911.6,1958.4,2034,2095.2,2205.288
3,As,2044.51473214286,1576.8,1622.7,1699.2,1911.6,1951.2,2030.4,2066.4,2116.8,2167.2,2217.6,2277,2347.2,2412.36
4,Aw,1978.09748477382,1609.2,1724.4,1782,1854,1897.2,1940.4,1983.6,2030.4,2070,2106,2170.8,2217.6,2268
5,BSh,2116.17862518816,1818,1868.4,1911.6,1994.4,2073.6,2116.8,2142,2174.4,2196,2221.2,2257.2,2296.8,2340
6,BSk,1670.41641337386,1256.472,1317.6,1375.2,1440,1497.6,1555.2,1627.2,1728,1810.8,1915.2,2037.6,2113.2,2199.6
7,BWh,2169.52931954273,1875.6,1929.6,1972.8,2041.2,2084.4,2120.4,2160,2206.8,2253.6,2307.6,2379.6,2426.4,2466
8,BWk,1724.01312972742,1414.8,1454.4,1512,1555.2,1584,1612.8,1648.8,1681.2,1742.4,1915.2,2109.6,2210.4,2365.2
9,Cfa,1568.15530527564,1004.4,1094.4,1209.6,1296,1436.4,1558.8,1638,1688.4,1728,1767.6,1832.4,1922.4,2021.688
10,Cfb,1335.14200887902,878.4,937.26,968.4,1015.2,1087.2,1184.4,1267.2,1364.4,1490.4,1616.4,1828.8,2012.4,2174.4
11,Cfc,1146.66413301663,793.44,813.6,853.2,918,1029.6,1072.8,1105.2,1148.4,1242,1350,1425.6,1501.2,1894.32
12,Csa,1789.48189987163,1458,1526.4,1587.6,1659.6,1710,1746,1789.2,1821.6,1861.2,1900.8,1965.6,2116.8,2224.8
13,Csb,1669.57451235371,1271.232,1336.68,1400.4,1494,1547.28,1594.8,1641.6,1706.4,1767.6,1843.2,1972.8,2080.8,2210.4
14,Csc,1321.75384615385,899.28,910.08,914.4,937.44,986.4,1062,1285.2,1387.44,1477.44,1696.32,1941.12,1965.24,1995.264
15,Cwa,1758.92637021717,1076.4,1159.2,1278,1386,1598.4,1724.4,1818,1900.8,1994.4,2106,2152.8,2188.8,2224.8
16,Cwb,1862.30656405613,1231.2,1317.6,1447.2,1609.2,1695.6,1786.32,1897.2,1987.2,2062.8,2142,2224.8,2275.2,2325.024
17,Cwc,2108.61,1417.032,1481.04,1541.88,1688.4,2030.76,2254.32,2289.6,2321.28,2367.36,2390.4,2405.88,2422.8,2433.096
18,Dfa,1378.52250516173,1216.8,1227.6,1238.4,1267.2,1303.2,1346.4,1386,1411.2,1436.4,1472.4,1515.6,1551.6,1591.2
19,Dfb,1205.29262137129,990,1011.6,1029.6,1062,1105.2,1155.6,1191.6,1227.6,1263.6,1314,1375.2,1479.6,1656
20,Dfc,1012.79785298491,795.6,828,856.8,910.8,943.2,968.4,997.2,1033.2,1069.2,1108.8,1170,1216.8,1306.8
21,Dfd,931.028119110441,687.6,748.8,784.8,853.2,889.2,921.6,943.2,961.2,975.6,1000.8,1069.2,1090.8,1105.2
22,Dsa,1735.13032258065,1483.848,1497.6,1526.04,1593.36,1675.44,1724.4,1773,1807.2,1832.4,1857.6,1882.8,1901.16,1911.6
23,Dsb,1684.13136531365,1326.528,1353.6,1397.52,1562.4,1611.36,1652.4,1684.8,1720.8,1774.8,1836,1929.6,1987.2,2022.336
24,Dsc,1149.51610942249,831.6,875.88,925.2,968.4,993.6,1011.6,1040.4,1065.6,1098,1418.4,1641.6,1764,1825.2
25,Dwa,1417.27721179625,1303.2,1339.2,1356.48,1375.2,1389.6,1404,1418.4,1432.08,1440,1454.4,1490.4,1501.2,1519.2
26,Dwb,1376.08545526212,1197.792,1231.2,1263.6,1281.6,1299.6,1317.6,1342.8,1375.2,1422,1486.8,1540.8,1562.4,1684.8
27,Dwc,1303.4170361727,1036.8,1076.4,1126.8,1166.4,1195.2,1231.2,1256.4,1285.2,1335.6,1386,1548,1767.6,1987.2
28,Dwd,992.943,936,946.8,957.6,972,982.8,986.4,990,997.2,1004.4,1008,1015.2,1030.32,1056.456
29,EF,984.022090628218,644.4,666,691.2,813.6,928.8,993.6,1029.6,1047.6,1076.4,1137.6,1191.6,1216.8,1231.2
30,ET,1050.26624529442,612,662.4,698.4,770.4,835.2,878.4,914.4,946.8,990,1130.4,1825.2,2001.6,2138.4
